keys,fr,en
"Connecte-toi","Connecte-toi","Sign in"
"Saisis ton email et ton mot de passe","Saisis ton email et ton mot de passe","Enter your email and password"
"ADRESSE EMAIL","ADRESSE EMAIL","EMAIL ADDRESS"
"MOT DE PASSE","MOT DE PASSE","PASSWORD"
"Oublié ?","Oublié ?","Forgot?"
"Mot de passe","Mot de passe","Password"
"Se souvenir de moi","Se souvenir de moi","Remember me"
"Se connecter","Se connecter","Sign in"
"Pas encore de compte ?","Pas encore de compte ?","No account yet?"
"S'inscrire","S'inscrire","Register"
"Creer un compte","Creer un compte","Create an account"
"Nom d'utilisateur","Nom d'utilisateur","Username"
"Mot de passe (8 car.)","Mot de passe (8 car.)","Password (8 char.)"
"Confirmer mot de passe","Confirmer mot de passe","Confirm password"
"Retour","Retour","Back"
"Adresse email invalide","Adresse email invalide","Invalid email address"
"Mot de passe requis","Mot de passe requis","Password required"
"Fonctionnalité à venir","Fonctionnalité à venir","Feature coming soon"
"Connexion...","Connexion...","Signing in..."
"Erreur de connexion","Erreur de connexion","Connection error"
"Nom requis","Nom requis","Name required"
"8 caracteres minimum","8 caracteres minimum","8 characters minimum"
"Mots de passe differents","Mots de passe differents","Passwords do not match"
"Inscription...","Inscription...","Registering..."
"Erreur d'inscription","Erreur d'inscription","Registration error"
"Initialisation...","Initialisation...","Initializing..."
"Authentification requise","Authentification requise","Authentication required"
"Chargement du profil...","Chargement du profil...","Loading profile..."
"Bienvenue !","Bienvenue !","Welcome!"
"Session expiree","Session expiree","Session expired"
"Chargement...","Chargement...","Loading..."
"Finalisation...","Finalisation...","Finalizing..."
"Erreur lors de la finalisation : %s","Erreur lors de la finalisation : %s","Error during finalization: %s"
"Aventurier","Aventurier","Adventurer"
"Niv. %d","Niv. %d","Lv. %d"
"Continuer l'aventure","Continuer l'aventure","Continue adventure"
"Entrainement","Entrainement","Training"
"Compagnons","Compagnons","Companions"
"Boutique","Boutique","Shop"
"Quetes","Quetes","Quests"
"Leaderboard","Leaderboard","Leaderboard"
"Carte du Monde","Carte du Monde","World Map"
"Donjons","Donjons","Dungeons"
"Equipe","Equipe","Team"
"Inventaire","Inventaire","Inventory"
"Paramètres","Paramètres","Settings"
"< Retour","< Retour","< Back"
"AUDIO","AUDIO","AUDIO"
"Musique","Musique","Music"
"Effets sonores","Effets sonores","Sound effects"
"LANGUE","LANGUE","LANGUAGE"
"ACCESSIBILITE","ACCESSIBILITE","ACCESSIBILITY"
"Reduire animations","Reduire animations","Reduce animations"
"COMPTE","COMPTE","ACCOUNT"
"Se deconnecter","Se deconnecter","Sign out"
"A PROPOS","A PROPOS","ABOUT"
"non connecte","non connecte","not connected"
"Deconnexion...","Deconnexion...","Signing out..."
"Continuer","Continuer","Continue"
"Suivant","Suivant","Next"
"Passer","Passer","Skip"
"Précédent","Précédent","Previous"
"Passer le tutoriel","Passer le tutoriel","Skip tutorial"
"Passer la personnalisation","Passer la personnalisation","Skip customization"
"Commencer l'aventure!","Commencer l'aventure!","Begin the adventure!"
"Commencer l'aventure !","Commencer l'aventure !","Begin the adventure!"
"Confirmer","Confirmer","Confirm"
"Annuler","Annuler","Cancel"
"Es-tu sûr ?","Es-tu sûr ?","Are you sure?"
"RÉPONSE","RÉPONSE","ANSWER"
"ÉTAPE","ÉTAPE","STEP"
"ACTION PRINCIPALE","ACTION PRINCIPALE","MAIN ACTION"
"Déjà étudiant ?","Déjà étudiant ?","Already a student?"
"Le monde devient instable et les héros manquent de préparation.","Le monde devient instable et les héros manquent de préparation.","The world is becoming unstable and heroes lack preparation."
"Apprends le code de la route en jouant","Apprends le code de la route en jouant","Learn the road code by playing"
"Les esprits de la route ont disparu. Forme ton équipe, étudie le code, et reprends le contrôle des intersections.","Les esprits de la route ont disparu. Forme ton équipe, étudie le code, et reprends le contrôle des intersections.","The road spirits have disappeared. Form your team, study the code, and take back control of intersections."
"Commencer","Commencer","Begin"
"Choisis ton compagnon","Choisis ton compagnon","Choose your companion"
"Personnalité : %s","Personnalité : %s","Personality: %s"
"Étudie pour gagner en puissance","Étudie pour gagner en puissance","Study to gain power"
"Réponds aux questions sur le code de la route pour gagner de l'expérience et renforcer ton équipe.","Réponds aux questions sur le code de la route pour gagner de l'expérience et renforcer ton équipe.","Answer road code questions to gain experience and strengthen your team."
"Combats les esprits de la route","Combats les esprits de la route","Fight the road spirits"
"Utilise tes connaissances pour vaincre les esprits dans des combats stratégiques au tour par tour.","Utilise tes connaissances pour vaincre les esprits dans des combats stratégiques au tour par tour.","Use your knowledge to defeat spirits in strategic turn-based combat."
"Progresse sur la carte d'aventure","Progresse sur la carte d'aventure","Progress on the adventure map"
"Débloque de nouvelles zones, découvre des défis et deviens le maître du code de la route.","Débloque de nouvelles zones, découvre des défis et deviens le maître du code de la route.","Unlock new areas, discover challenges, and become the master of the road code."
"Gardien des Panneaux","Gardien des Panneaux","Signs Guardian"
"Stratège des Priorités","Stratège des Priorités","Priority Strategist"
"Éclaireur de Vitesse","Éclaireur de Vitesse","Speed Scout"
"Une erreur est survenue","Une erreur est survenue","An error occurred"
"Navigation","Navigation","Navigation"
"Bienvenue","Bienvenue","Welcome"
"Bienvenue sur Heroes Academy. Teste chaque composant tactile.","Bienvenue sur Heroes Academy. Teste chaque composant tactile.","Welcome to Heroes Academy. Test each touch component."
"Quelle est la capitale de la France ?","Quelle est la capitale de la France ?","What is the capital of France?"
"Paris","Paris","Paris"
"Quitter le combat ?","Quitter le combat ?","Leave combat?"
"Action non réversible.","Action non réversible.","Action cannot be undone."
"Confirmé","Confirmé","Confirmed"
"Annulé","Annulé","Cancelled"
"Chargement de la zone...","Chargement de la zone...","Loading area..."
"Nouveau skill !","Nouveau skill !","New skill!"
"Tu as appris Attaque foudroyante","Tu as appris Attaque foudroyante","You learned Lightning Strike"
"Que faire ?","Que faire ?","What to do?"
"Choisis ta prochaine action","Choisis ta prochaine action","Choose your next action"
"Explorer","Explorer","Explore"
"Se reposer","Se reposer","Rest"
"Fuir","Fuir","Flee"
"Onglet %d","Onglet %d","Tab %d"
"Coming soon!","Coming soon!","Coming soon!"
